Aakar Gupta,[Facebook]
Katarzyna Stawarz,"[Bristol University, UK]"
Katharina Krombholz,"[CISPA Helmholtz Center for Information Security (Saarbrücken, Germany)]"
Katherine Isbister,[University of California Santa Cruz]
Kathleen McCoy,[University of Delaware]
Kathrin Gerling,[KU Leuven]
Kathryn Ringland,[University of California]
Katie A. Siek,"[Indiana University, US]"
Katie Davis,[University of Washington]
Katja Rogers,[University of Waterloo]
Katrin Wolf,"[Beuth University of Applied Sciences Berlin, University of Hamburg, Germany, Hamburg University of Applied Sciences, Germany]"
Katta Spiel,"[TU Wien, KU Leuven, Belgium, KU Leuven || Universität Wien]"
Kayla Desportes,[New York University]
Keith Vertanen,[Michigan Technological University]
Kellie Morrissey,[University of Limerick]
Ken Pfeuffer,[Bundeswehr University Munich]
Kent Seamons,[Brigham Young University]
Kentaro Toyama,"[University of Michigan, USA]"
Kevin Doherty,[Technical University of Denmark]
Khairi Reda,[Indiana University-Purdue University Indianapolis]
Kim Marriott,[Monash University]
Koji Yatani,"[University of Tokyo, University of Tokyo, Japan]"
Konstantinos Koumaditis,[Aarhus University]
Kotaro Hara,[Singapore Management University]
Kristin Williams,[CMU]
Kristina Andersen,[TU Eindhoven]
Kristy Boyer,[University of Florida]
Krzysztof Gajos,[Harvard University]
Kurt Luther,[Virginia Tech]
Kwan-Liu Ma,"[University of California, Davis]"
Kyle Rector,"[University of Iowa, USA, U of Iowa]"
Lana Yarosh,[University of Minnesota]
Lap-Fai (Craig),[George Mason University]
Lars Erik Holmquist,[Northumbria University]
Laura Maye,[University College Cork]
Laura Trutoiu,[Magic Leap]
Lauren Wilcox,[GeogiaTech/Google]
Leah Findlater,"[University of Washington, University of Washington, Seattle, USA]"
Leila Takayama,"[University of California, Santa Cruz]"
Leilani Battle,"[University of Maryland, College Park]"
Lewis Chuang,"[Ludwig-Maximilian-Universität München, Germany]"
Liam D. Turner,[Cardiff University]
Lila Bozgeyikli,"[University of Arizona, USA]"
Lilly Irani,[UCSD]
Lindsay Reynolds,"[Facebook, US]"
Lining Yao A F Am,[Carnegie Mellon University]
Lionel Robert,"[University of Michigan, USA]"
Lisa Anthony,[University of Florida]
Lisa Tweedie,"[TIBCO, UK]"
Lisa Vizer,[University of North Carolina at Chapel Hill]
Liwei Chen,[NCTU Taiwan]
Lizzie Coles-Kemp,"[Royal Holloway University London, UK]"
Lone Hansen,[Aarhus Univ]
Loren Terveen,"[University of Minnesota, USA]"
Louise Barkhuus,"[IT University of Copenhagen, IT University of Copenhagen, Denmark]"
Loutfouz Zaman,[Ontario Tech University]
Luigi De Russis,"[Politecnico di Torino, Italy]"
Lujo Bauer,[Carnegie Mellon University]
Lung-Pan Cheng,[National Taiwan University]
Lyn Bartram,[Simon Fraser University]
Lynn Dombrowski,[IUPUI]
Lynne Baillie,"[Heriot-Watt University, Heriot Watt University]"
Lynne Coventry,[Northumbria University]
Lynne Hall,"[University of Sunderland, UK]"
Madeline Balaam,"[KTH Royal Institute of Technology, Stockholm, Sweden]"
Madison Klarkowski,[University of Saskatchewan]
Maggie Jack,[Cornell / UC Irvine]
Magy Seif El-Nasr,[Northeastern University]
Mainack Mondal,[IIT Kharagpur]
Maja Vukovic,"[IBM, Yorktown Heights, USA]"
Makayla Lewis,[Kingston University London]
Maletsabisa (Tsabi) Molapo,[IBM Research Africa]
Maliheh Ghajargar,[Malmo]
Manya Sleeper,[Google Inc.]
Marc Langheinrich,"[University of Lugano, Università della Svizzera italiana (USI)]"
Marco Gillies,[Goldsmiths University of London]
Marcos Serrano,[University of Toulouse]
Margaret Burnett,[Oregon State University]
Margot Brereton,[Queensland University of Technology]
Maria Aufheimer,[KU Leuven]
Maria Menendez Blanco,[The Free University of Bozen-Bolzano]
Maria Roussou,"[National and Kapodistrian University of Athens, Greece]"
Maria Wolters,"[Alan Turing Institute, London, UK, University of Edinburgh, UK, University of Edinburgh]"
Marianna Obrist,[University College London]
Marie Louise Juul Søndergaard,[KTH]
Marilyn Lennon,"[University of Strathclyde, UK, University of Strathclyde]"
Mario Alberto Moreno Rocha,[Universidad Tecnológica de la Mixteca]
Marion Koelle,[Saarland University]
Marisol Wong-Villacres,"[Georgia Tech, Escuela Superior Politécnica del Litoral]"
Mark Billinghurst,[University of South Australia]
Mark Blythe,[Northumbria University]
Mark Dunlop,[University of Strathclyde]
Mark Handel,"[Facebook, US]"
Mark Riedl,[Georgia Tech]
Mark Rouncefield,"[Lancaster University, UK]"
Markus Funk,[Cerence Inc.]
Marshini Chetty,[University of Chicago]
Martez Mott,[Microsoft Research]
Marti Louw,[CMU]
Martin Flintham,"[Nottingham University, UK]"
Martin Halvey,"[University of Strathclyde, UK]"
Mary Lou Maher,[UNC Charlotte]
Maryam Mustafa,"[Lahore University of Management Sciences, Lahore University of Management]"
Marynel Vázquez,[Yale University]
Masa Inakage,"[Keio University, Japan]"
Mathew Aylett,[CEREProc]
Matt Jones,"[Swansea University, UK]"
Matthew Easterday,[Northwestern University]
Matthew Kay,[Northwestern University]
Matthew Louis Mauriello,[University of Delaware]
Matthew Mauriello,[Stanford]
Matthieu Tixier,[University of Troyes]
Maurizio Teli,[Aalborg Univ]
Max Birk,"[TU Eindhoven University of Technology, Netherlands]"
Max Krüger,[University of Siegen]
Max L. Wilson,[University of Nottingham]
Max Van Kleek,[University of Oxford]
Max Wilson,[University of Nottingham]
Max van Kleek,"[University of Oxford, UK]"
Maximiliane Windl,[LMU Munich]
Mayank Goel,[Carnegie Mellon University]
Megan Hofmann,[Northeastern University]
Megan Knittel,[Michigan State University]
Melanie Tory,[Tableau Software]
Melissa Densmore,[University of Cape Town]
Melissa Rogerson,[University of Melbourne]
Mia Suh,"[Google, USA]"
Michael Crabb,[Univ of Dundee]
Michael Haller,[University of Applied Sciences Upper Austria]
Michael Lankes,[FH Hagenberg]
Michael Lee,[New Jersey Institute of Technology]
Michael Madaio,"[Microsoft Research, USA]"
Michael Mueller,[IBM]
Michael Nitsche,[GaTech]
Michael Prilla,[TU Clausthal]
Michael Stewart,"[James Madison University, VA, USA]"
Michelle Annett,[MishMashMakers]
Michelle Lui,[University of Toronto]
Miguel Nacenta,[University of Victoria]
Mihaela Vorvoreanu,"[Microsoft, USA]"
Mike Chen,[National Taiwan University]
Mike Clarke,[Facebook]
Mike Fraser,[University of Bath]
Mike Hazas,"[Lancaster University, Lancashire, UK, Lancaster University, UK]"
Mike Horn,[Northwestern]
Mike Schaekermann,[Amazon AI]
Min Chi,[North Carolina State]
Ming Yin,"[Purdue University, USA]"
Mingming Fan,[Rochester Institute of Technology]
Mingrui Ray Zhang,"[University of Washington, USA]"
Minha Lee,[Eindhoven University of Technology]
Mirjana Prpa,[SIAT SFU]
Misha Sra,[UC Santa Barbara]
Mohamed Khamis,[University of Glasgow]
Mohit Jain,[Microsoft Research India]
Monica Landoni,[Università Della Svizzera Italiana]
Monica Pereira,[Brunel University London]
Mor Naaman,[Cornell Tech]
Munmun Chaudhury,[Georgia Tech]
Nadia Boukhelifa,[INRAE]
Naomi Yamashita,"[Nippon Telegraph and Telephone Corporation, Japan, NTT]"
Nathalie Riche,[Microsoft Research]
Naveena Karusala,[University of Washington]
Nazanin Andalibi,"[University of Michigan, US]"
Neha Kumar,"[Georgia Institute of Technology, Atlanta, USA, Georgia Tech]"
Nervo Verdezoto,[Cardiff University]
Netta Iivari,[Oulu University]
Nicholas Diakopoulos,[Northwestern University]
Nicholas Graham,[Queen's University]
Nicola Dell,[Cornell University]
Nicolai Marquardt,[University College London]
Nicole Sultanum,"[University of Toronto, Canada]"
Niels Henze,[University of Regensburg]
Niels van Berkel,"[Aalborg University, Denmark, University of Melbourne, Australia, Aalborg University]"
Nikita Samarin,"[University of California, Berkeley]"
Niklas Elmqvist,[University of Maryland]
Nikola Banovic,[Michigan]
Nikolas Martelaro,"[Carnegie Mellon University, USA]"
Niloufar Salehi,[Berkeley]
