name,affiliation
Ang Li,Pacific Northwest National Laboratory (PNNL)
Alba Cristina Magalhaes Alves de Melo,University of Brasilia
Stefano Markidis,"KTH Royal Institute of Technology, Sweden"
Marco Minutoli,Pacific Northwest National Laboratory (PNNL)
Phani Motamarri,Indian Institute of Science
Gabriel Noaje,NVIDIA
Swaroop Pophale,Oak Ridge National Laboratory (ORNL)
John W. Romein,ASTRON (Netherlands Institute for Radio Astronomy)
Bertil Schmidt,Johannes Gutenberg University Mainz
Alessio Sclocco,Netherlands eScience Center
Sudip Seal,Oak Ridge National Laboratory (ORNL)
Hari Sundar,University of Utah
Jesmin Jahan Tithi,Intel Corporation
Lishan Yang,George Mason University
Ryan Grant,"Queen's University, Canada; University of New Mexico"
Masaaki Kondo,"Keio University, Tokyo; RIKEN"
Ahmad Afsahi,"Queen's University, Canada"
Andrea Bartolini,University of Bologna
"Mehmet E, Belviranli",Colorado School of Mines
Amanda J. Bienz,University of New Mexico
Salvatore Di Girolamo,NVIDIA
Jens Domke,RIKEN Center for Computational Science (R-CCS)
Mahdieh Ghazimirsaeed,Advanced Micro Devices (AMD) Inc
Tristan Glatard,Concordia University
"Dhrubajyoti, Goswami",Concordia University
Richard Graham,NVIDIA
Martin C. Herbordt,Boston University
James Lin,Shanghai Jiao Tong University
George Michelogiannakis,Lawrence Berkeley National Laboratory (LBNL); Stanford University
Roxana Rusitoru,ARM Ltd
William Schonbein,Sandia National Laboratories
Kathleen Shoga,Lawrence Livermore National Laboratory
Keith Underwood,Hewlett Packard Enterprise
Kazutomo Yoshii,Argonne National Laboratory (ANL)
Joanna Kolodziej,Cracow University of Technology; NASK National Research Institute
Douglas Thain,University of Notre Dame
Michela Becchi,North Carolina State University
Matthias A. Blumrich,NVIDIA Corporation
Adriana E. Chis,National College of Ireland
Alexandru Costan,French Institute for Research in Computer Science and Automation (INRIA)
Rosa Filgueira,University of St Andrews
Horacio Gonzalez-Velez,Cloud Competency Centre-NCI
Alexandru Iosup,Vrije University Amsterdam; Delft University of Technology
David Irwin,"University of Massachusetts, Amherst"
Pavel Kromer,VSB - Technical University of Ostrava
John Lange,Oak Ridge National Laboratory (ORNL); University of Pittsburgh
